"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0402_1005Metric","233.145000","-36.000000","0.000000","bottom"
"C2","1uF","C_0402_1005Metric","237.800501","-28.419499","0.000000","bottom"
"C3","1uF","C_0402_1005Metric","229.445000","-47.700000","180.000000","bottom"
"C4","1uF","C_0402_1005Metric","235.945000","-45.800000","90.000000","bottom"
"C5","100nF","C_0402_1005Metric","236.640000","-32.950000","0.000000","bottom"
"C6","100nF","C_0402_1005Metric","203.032500","-44.100000","0.000000","bottom"
"C7","100nF","C_0402_1005Metric","174.457500","-44.100000","0.000000","bottom"
"C8","100nF","C_0402_1005Metric","145.882500","-44.100000","0.000000","bottom"
"C9","100nF","C_0402_1005Metric","117.307502","-44.060000","0.000000","bottom"
"C10","1uF","C_0402_1005Metric","225.250000","-37.350000","0.000000","bottom"
"C11","100nF","C_0402_1005Metric","88.732501","-44.039999","0.000000","bottom"
"C12","100nF","C_0402_1005Metric","60.157501","-44.019999","0.000000","bottom"
"C13","100nF","C_0402_1005Metric","31.622501","-44.119999","0.000000","bottom"
"C14","100nF","C_0402_1005Metric","233.632502","-51.019999","0.000000","bottom"
"C15","100nF","C_0402_1005Metric","260.182500","-44.229999","0.000000","bottom"
"C16","100nF","C_0402_1005Metric","313.000000","-44.220000","0.000000","bottom"
"C17","100nF","C_0402_1005Metric","355.070000","-44.170000","0.000000","bottom"
"D1","d_esc","D_SOD-123","39.224999","-32.725000","0.000000","bottom"
"D2","d_tilde","D_SOD-123","39.224999","-58.124999","0.000000","bottom"
"D3","d_leftcontrol","D_SOD-123","41.606250","-134.325000","0.000000","bottom"
"D4","d_tab","D_SOD-123","43.987500","-77.174999","0.000000","bottom"
"D5","d_capslock","D_SOD-123","46.368750","-96.225000","0.000000","bottom"
"D6","d_leftshift","D_SOD-123","51.131250","-115.275000","0.000000","bottom"
"D7","d_1","D_SOD-123","58.275000","-58.124999","0.000000","bottom"
"D8","d_fn","D_SOD-123","65.418749","-134.325000","0.000000","bottom"
"D9","d_q","D_SOD-123","67.800000","-77.174999","0.000000","bottom"
"D10","d_a","D_SOD-123","72.562500","-96.225000","0.000000","bottom"
"D11","d_f1","D_SOD-123","77.324999","-32.725000","0.000000","bottom"
"D12","d_2","D_SOD-123","77.324999","-58.124999","0.000000","bottom"
"D13","d_z","D_SOD-123","82.087500","-115.275000","0.000000","bottom"
"D14","d_w","D_SOD-123","86.850000","-77.174999","0.000000","bottom"
"D15","d_alt","D_SOD-123","89.231249","-134.325000","0.000000","bottom"
"D16","d_s","D_SOD-123","91.612500","-96.225000","0.000000","bottom"
"D17","d_f2","D_SOD-123","96.375000","-32.725000","0.000000","bottom"
"D18","d_3","D_SOD-123","96.375000","-58.124999","0.000000","bottom"
"D19","d_x","D_SOD-123","101.137499","-115.275000","0.000000","bottom"
"D20","d_e","D_SOD-123","105.900000","-77.174999","0.000000","bottom"
"D21","d_d","D_SOD-123","110.662500","-96.225000","0.000000","bottom"
"D22","d_f3","D_SOD-123","115.425000","-32.725000","0.000000","bottom"
"D23","d_4","D_SOD-123","115.425000","-58.124999","0.000000","bottom"
"D24","d_c","D_SOD-123","120.187500","-115.275000","0.000000","bottom"
"D25","d_r","D_SOD-123","124.949999","-77.174999","0.000000","bottom"
"D26","d_f","D_SOD-123","129.712500","-96.225000","0.000000","bottom"
"D27","d_f4","D_SOD-123","134.475000","-32.725000","0.000000","bottom"
"D28","d_5","D_SOD-123","134.475000","-58.124999","0.000000","bottom"
"D29","d_v","D_SOD-123","139.237500","-115.275000","0.000000","bottom"
"D30","d_t","D_SOD-123","144.000000","-77.174999","0.000000","bottom"
"D31","d_g","D_SOD-123","148.762500","-96.225000","0.000000","bottom"
"D32","d_6","D_SOD-123","153.525000","-58.124999","0.000000","bottom"
"D33","d_b","D_SOD-123","158.287500","-115.275000","0.000000","bottom"
"D34","d_space","D_SOD-123","160.668750","-134.325000","0.000000","bottom"
"D35","d_f5","D_SOD-123","163.050000","-32.725000","0.000000","bottom"
"D36","d_y","D_SOD-123","163.050000","-77.174999","0.000000","bottom"
"D37","d_h","D_SOD-123","167.812500","-96.225000","0.000000","bottom"
"D38","d_7","D_SOD-123","172.575000","-58.124999","0.000000","bottom"
"D39","d_n","D_SOD-123","177.337500","-115.275000","0.000000","bottom"
"D40","d_f6","D_SOD-123","182.100000","-32.725000","0.000000","bottom"
"D41","d_u","D_SOD-123","182.100000","-77.174999","0.000000","bottom"
"D42","d_j","D_SOD-123","186.862500","-96.225000","0.000000","bottom"
"D43","d_8","D_SOD-123","191.625000","-58.124999","0.000000","bottom"
"D44","d_m","D_SOD-123","196.387500","-115.275000","0.000000","bottom"
"D45","d_f7","D_SOD-123","201.150000","-32.725000","0.000000","bottom"
"D46","d_i","D_SOD-123","201.150000","-77.174999","0.000000","bottom"
